도로명전체주소,사업장명,위도,경도
"경기도 의정부시 평화로 381, 107,108호 (호원동)",셀메드자연약국,37.72596851,127.0478977
"경기도 의정부시 서광로 197, 제이프라자 1층 104호 (고산동)",도영약국,,
"경기도 의정부시 용민로 391, 예스프라자 시그니처 105호 (낙양동)",종로약국,37.75545325,127.1118598
"경기도 의정부시 시민로 81, 서부타워빌딩 102호 (의정부동)",정다운약국,37.7386785,127.0442137
"경기도 의정부시 가능로 97, 1층 (가능동)",평안약국,37.74697442,127.042048
"경기도 의정부시 동일로 709, 1,2,3층 (금오동)",빨간문약국,37.75026289,127.0510971
"경기도 의정부시 청사로5번길 26, 경남빌딩 113,114호 (신곡동)",드림피아약국,37.74881076,127.0696507
"경기도 의정부시 월유로 13, 지석프라자 109호 (산곡동)",필약국,37.72923476,127.1104675
"경기도 의정부시 오목로 33, 1층 113호 (용현동)",탑메디칼약국,37.73354396,127.0863861
"경기도 의정부시 동일로 713, 1층 120호 (금오동)",을지문덕약국,37.75054709,127.0497515
"경기도 의정부시 비우로 60, 인창빌딩 1층 104호 (녹양동)",삼성약국,37.75792001,127.0333078
"경기도 의정부시 동일로 713, 127호 (금오동)",가장빠른약국,37.75054709,127.0497515
"경기도 의정부시 동일로 713, 118,119호 (금오동)",대학약국,37.75054709,127.0497515
"경기도 의정부시 동일로 713, 1층 117호 (금오동)",을지1번약국,37.75054709,127.0497515
"경기도 의정부시 평화로 561, 1층 (의정부동)",혜담약국,37.74222394,127.0466926
"경기도 의정부시 동일로 725, 105,106호 (금오동)",가까운정문약국,37.75113191,127.049595
"경기도 의정부시 태평로 108, 1층 (의정부동)",연세약국,37.74222181,127.0517881
"경기도 의정부시 시민로 83, 광장타워 1층 110호 (의정부동)",의정부약국,37.73877199,127.0445209
"경기도 의정부시 천보로 257, ACT빌딩 1층 (금오동)",성모이화약국,,
"경기도 의정부시 태평로 71, 1층 (의정부동)",제중약국,37.73885794,127.0513987
"경기도 의정부시 동일로711번길 15, 1층 (금오동)",주차편한자연약국,37.74981112,127.0509595
"경기도 의정부시 동일로711번길 21, 1층 (금오동)",을지우림약국,37.74965466,127.0508545
"경기도 의정부시 동일로 732, 금오동 근린생활시설 1층 102호 (금오동)",100평 광장약국,,
"경기도 의정부시 금신로 308, B1층 B102호 (신곡동)",신곡코코약국,,
